IdJob,Arrival,Departure,ResponseTime,size,Isspike
335,4059.2080551319846,4063.5278682405524,4.319813108567814,4.319813108567865,false
331,4026.442475502782,4064.546975023084,38.10449952030194,38.10449952030185,false
337,4070.517071608071,4081.977033144257,11.459961536185801,11.459961536185636,false
336,4064.1163669985226,4086.6725866500788,22.556219651556148,22.55621965155619,false
339,4081.7964639697652,4092.729600457308,10.933136487542924,10.933136487542821,false
338,4077.9705259743414,4115.725789350838,37.75526337649626,37.75526337649633,false
341,4111.291849544724,4116.720072329788,5.428222785064463,5.428222785064706,false
343,4119.042040858068,4119.633702135602,0.5916612775345129,0.5916612775343889,false
342,4113.670354618732,4123.302165873894,9.631811255162575,9.63181125516238,false
340,4103.034555262371,4130.183424479222,27.14886921685047,27.148869216850148,false
344,4163.791516457392,4178.0642646588585,14.272748201466129,14.27274820146655,false
345,4177.957101807661,4195.500531163953,17.54342935629211,17.5434293562918,false
346,4220.830747419273,4225.246941190431,4.41619377115785,4.416193771157757,false
347,4221.621791808713,4230.968178804668,9.346386995955072,9.3463869959548,false
348,4249.457467414306,4256.995778860732,7.538311446425723,7.538311446425999,false
350,4304.056841666687,4311.71062871391,7.653787047222977,7.653787047223114,false
349,4282.228393472777,4318.652772936084,36.42437946330756,32.2018256486157,false
351,4308.609779724779,4322.040853430117,13.43107370533744,13.431073705337045,false
352,4310.207665306701,4324.065242006384,13.857576699683705,9.635022884991802,false
354,4348.810248455782,4350.099217211285,1.2889687555025375,0.6444843777512317,false
353,4338.802300835848,4360.55510374283,21.75280290698265,21.108318529231784,false
356,4372.85780526275,4375.48998437695,2.632179114199971,1.3160895571002085,false
355,4369.04161345946,4381.482462646791,12.440849187330969,11.124759630231123,false
357,4389.747365946479,4407.475519283412,17.728153336933246,17.72815333693282,false
358,4408.645125527124,4408.775871994686,0.13074646756194852,0.13074646756195485,false
360,4422.9676858666835,4440.57911050992,17.611424643236205,6.192608598196815,false
362,4443.483167215022,4451.004876133489,7.521708918467084,2.26682794091998,false
361,4424.900488169393,4474.894779271687,49.99429110229448,14.971027823634175,false
359,4415.120313938325,4492.874434257202,77.75412031887663,27.47401352613489,false
363,4448.119975750661,4506.440232803935,58.32025705327396,13.664833268538937,false
366,4476.7604117853825,4509.407361746757,32.64694996137405,7.1930181967928695,false
365,4461.413746611599,4513.406390449155,51.99264383755599,11.68864242470037,false
368,4539.941273195595,4555.718729710067,15.77745651447185,3.9369998663774246,false
370,4551.703539648023,4556.018431765496,4.314892117472482,0.8779635262659569,false
369,4542.262016085936,4560.7991082065455,18.537092120609486,4.831903230471079,false
364,4459.735355314796,4635.232057877118,175.49670256232184,53.64790601719399,false
373,4593.235631296584,4639.008956705573,45.77332540898897,9.343510023220658,false
374,4641.5554047772575,4650.201495865273,8.646091088015055,2.1615227720037864,false
375,4646.453772041475,4651.112180546395,4.6584085049207715,4.658408504920339,false
371,4584.84564064514,4672.904936728547,88.05929608340739,22.16585110596153,false
372,4586.605932679818,4683.297583539069,96.69165085925124,26.77541049966327,false
377,4703.064100120711,4704.743014320798,1.678914200086183,1.6789142000859527,false
367,4503.179869404741,4725.665512766876,222.4856433621353,89.20445381892763,false
378,4706.226785412249,4727.338653795043,21.111868382793546,21.11186838279354,false
379,4724.383982441743,4733.5122724581515,9.128290016408755,9.128290016408585,false
380,4737.178299368257,4738.616197442024,1.4378980737665188,1.4378980737660676,false
382,4742.041394632589,4743.8529927042955,1.8115980717066122,1.8115980717066549,false
376,4697.368100387781,4750.726704661936,53.35860427415537,37.946491812784934,false
383,4747.938603497575,4753.666492137449,5.727888639873527,5.7278886398739814,false
381,4741.112808965713,4759.186370858695,18.07356189298207,18.0735618929822,false
384,4748.199892118291,4768.71834317732,20.51845105902885,19.255044787206035,false
385,4766.020115568006,4772.223988985123,6.203873417116483,6.203873417116866,false
386,4780.6953116942705,4792.160681951553,11.465370257282302,11.465370257282496,false
388,4798.624537019478,4798.729953884555,0.10541686507622217,0.10541686507598891,false
387,4795.97571217951,4800.685477964238,4.709765784728006,4.709765784728316,false
390,4815.675317483098,4817.465176390261,1.7898589071628521,1.7898589071630981,false
389,4803.010394292801,4834.720226691909,31.709832399108564,31.709832399108134,false
391,4835.141603782,4852.09863187125,16.957028089250343,16.957028089250123,false
393,4863.067038429216,4865.033831191839,1.9667927626232995,1.9667927626230943,false
392,4860.773675882651,4870.846477380554,10.07280149790222,10.072801497902397,false
394,4945.54269549763,4948.847528997237,3.3048334996065023,3.3048334996063544,false
395,4946.997563803468,4960.843439170714,13.845875367245753,13.845875367246094,false
396,4953.250343999487,4971.00355605729,17.753212057802557,17.753212057802706,false
397,4979.691074429076,4981.001747239735,1.310672810658616,1.3106728106589889,false
398,4982.989525585249,4989.417969257959,6.428443672710273,6.428443672709921,false
399,4994.0352849003575,5010.471196024717,16.435911124359336,16.435911124359244,false
400,5010.505932365763,5011.878142406446,1.3722100406830577,1.3722100406830873,false
402,5017.758536753221,5039.545739967337,21.787203214115834,8.31061293492232,false
405,5061.301070240704,5064.022949219516,2.7218789788121285,0.6804697447030066,false
401,5014.654679545509,5064.534762402277,49.88008285676824,19.930226845315453,false
403,5024.047807934524,5073.011804865972,48.96399693144849,17.92025527879923,false
406,5075.219996015806,5088.267231822638,13.04723580683185,4.132837191300375,false
